blender_frame,anchor_code,cluster_id,substrate,config_count,target_extL,target_extA,target_extB,max_dE,build
18,anchor_17,17,Clear,116,43.17,-1.66,-3.88,1.2146,LUMI Clear 6mm / Ar90 7.75mm / C272 Clear 6mm / Vacuum 0.25mm / Clear 6mm
19,anchor_18,18,Clear,164,43.36,-3.11,-2.49,1.3233,SB60 Clear 4mm / Ar90 13.44mm / C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm
20,anchor_19,19,Clear,20,43.41,-5.95,-4.47,0.3141,XTR6129 Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.25mm / C270 Clear 4mm
21,anchor_20,20,Clear,36,43.56,-5.17,-1.41,0.9951,C366 Clear 5mm / Ar90 11.85mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 4mm
22,anchor_21,21,Clear,86,43.65,-3.1,-4.65,1.2877,SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm
23,anchor_22,22,Clear,176,43.82,-6.14,-12.78,0.76,C340 Clear 5mm / Ar90 11.05mm / C272 Clear 5mm / Vacuum 0.25mm / Clear 5mm
24,anchor_23,23,Clear,38,43.87,-3.83,-7.68,1.2698,XTR6129 Clear 6mm / Ar90 11.25mm / Clear 4mm / Vacuum 0.25mm / SB70 Clear 4mm
25,anchor_24,24,Clear,64,44.06,-6.02,0.01,0.7687,SB60 Clear 5mm / Ar90 11.08mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 5mm
26,anchor_25,25,Clear,64,44.44,-4.39,-0.34,0.6857,C270 Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.08mm / SB60 Clear 5mm
27,anchor_26,26,Clear,80,44.51,-7.33,-12.69,0.7951,C340 Clear 6mm / Ar90 9.07mm / SB70 Clear 6mm / Vacuum 0.25mm / Clear 5mm
28,anchor_27,27,Clear,80,44.58,-4.21,-4.84,1.4164,C270 Clear 6mm / Ar90 7.45mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
29,anchor_28,28,Clear,58,44.63,-2.8,-6.58,1.1653,SKN183 Clear 6mm / Ar90 7.75mm / Clear 6mm / Vacuum 0.25mm / C272 Clear 6mm
30,anchor_29,29,Clear,94,44.76,-6.57,-13.31,0.706,C340 Clear 6mm / Ar90 8.05mm / Clear 6mm / Vacuum 0.25mm / C180 Clear 6mm
31,anchor_30,30,Clear,68,44.77,-1.55,-8.63,1.2787,SKN183 Clear 6mm / Ar90 8.15mm / Clear 6mm / Vacuum 0.25mm / LUMI Clear 5mm
32,anchor_31,31,Clear,96,44.95,-2.58,-1.14,1.1806,LUMI Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.24mm / SB60 Clear 4mm
33,anchor_32,32,Clear,32,45.08,-0.49,-3.04,0.5612,LUMI Clear 6mm / Vacuum 0.25mm / Clear 5mm / Ar90 9.45mm / C366 Clear 5mm
34,anchor_33,33,Clear,22,45.16,-5.07,-2.81,0.9496,C270 Clear 6mm / Vacuum 0.25mm / Clear 6mm / Ar90 7.75mm / SKN183 Clear 6mm
35,anchor_34,34,Clear,4,45.3,-2.43,-10.82,0.0665,SKN183 Clear 6mm / Ar90 7.15mm / SKN183 Clear 6mm / Vacuum 0.25mm / Clear 6mm
36,anchor_35,35,Clear,125,45.36,-1.4,-4.24,1.354,C272 Clear 4mm / Ar90 13.45mm / Clear 4mm / Vacuum 0.25mm / C180 Clear 4mm
37,anchor_36,36,Clear,32,45.58,-7.14,0.13,0.3823,C270 Clear 5mm / Ar90 11.85mm / Clear 5mm / Vacuum 0.25mm / C270 Clear 4mm
38,anchor_37,37,Clear,134,45.59,-2.96,-4.01,1.2091,SB60 Clear 6mm / Ar90 8.09mm / C180 Clear 6mm / Vacuum 0.25mm / Clear 6mm
39,anchor_38,38,Clear,68,45.92,-5.37,-2.9,1.0792,C270 Clear 5mm / Ar90 12.55mm / SB70 Clear 4mm / Vacuum 0.25mm / Clear 4mm
40,anchor_39,39,Clear,30,46.07,-3.39,-8.62,1.2404,SKN183 Clear 6mm / Ar90 7.15mm / Clear 6mm / Vacuum 0.25mm / SKN183 Clear 6mm
41,anchor_40,40,Clear,22,46.42,-5.96,-5.24,0.9637,SKN183 Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.25mm / C270 Clear 4mm
42,anchor_41,41,Clear,32,46.45,-6.41,-0.5,0.4066,LUMI Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 10.45mm / C270 Clear 5mm
43,anchor_42,42,Clear,132,46.49,-4.15,-3.52,1.1079,C270 Clear 4mm / Vacuum 0.25mm / Clear 4mm / Ar90 13.44mm / SB70 Clear 4mm
44,anchor_43,43,Clear,62,46.61,-3.95,-4.89,1.2856,LUMI Clear 6mm / Ar90 8.77mm / SB70 Clear 6mm / Vacuum 0.25mm / Clear 5mm
45,anchor_44,44,Clear,32,47.09,-7.1,-2.3,0.3701,SB70 Clear 5mm / Vacuum 0.25mm / Clear 5mm / Ar90 11.86mm / C270 Clear 4mm
46,anchor_45,45,Clear,53,47.32,-1.91,-5.75,1.2954,LUMI Clear 6mm / Vacuum 0.25mm / Clear 4mm / Ar90 11.24mm / SB70 Clear 4mm
47,anchor_46,46,Clear,42,47.35,-5.37,-4.84,0.8786,SB70 Clear 6mm / Ar90 10.1mm / Clear 5mm / Vacuum 0.25mm / SB70 Clear 5mm
48,anchor_47,47,Clear,30,47.53,-2.17,-9.18,1.0669,SKN183 Clear 6mm / Ar90 9.75mm / Clear 5mm / Vacuum 0.25mm / C180 Clear 5mm
49,anchor_48,48,Clear,52,47.66,-4.37,-5.08,1.1379,SB70 Clear 6mm / Ar90 8.09mm / Clear 6mm / Vacuum 0.25mm / C180 Clear 6mm
50,anchor_49,49,Clear,118,48.71,-1.79,-5.61,1.0775,C180 Clear 4mm / Ar90 13.45mm / C272 Clear 4mm / Vacuum 0.25mm / Clear 4mm
